name,Category,Addr,analytics,logo
Courtyard Aberdeen at Ripken Stadium,Category 4,"830 Long Drive Aberdeen, Maryland 21001",Courtyard Aberdeen at Ripken Stadium 4.2   388 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/BWIBD/bwibd-lobby-0019-hor-feat.jpg?resize=375:150 undefined
Fairfield Inn & Suites Aberdeen,Category 2,"2901 6th Avenue SE Aberdeen, South Dakota 57401",Fairfield Inn & Suites Aberdeen,https://cache.marriott.com/marriottassets/marriott/FN/ffi-main01-0001-hor-feat.jpg?resize=375:150 undefined
Residence Inn Aberdeen at Ripken Stadium,Category 4,"830 Long Drive Aberdeen, Maryland 21001",Residence Inn Aberdeen at Ripken Stadium 4.5   284 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/BWIDE/bwide-lobby-0024-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Aberdeen,Category 2,"402 Norwood Street South Aberdeen, South Dakota 57401",TownePlace Suites Aberdeen 4.6   229 Reviews View Rates,https://cache.marriott.com/marriottassets/marriott/ABRTS/abrts-exterior-0001-hor-feat.jpg?resize=375:150 undefined
TownePlace Suites Southern Pines Aberdeen,Category 2,"205 Columbus Drive Aberdeen, North Carolina 28315",TownePlace Suites Southern Pines Aberdeen 4.8   210 Reviews View Rates,undefined undefined
Courtyard Abilene Northeast,Category 2,"2141 Scottish Road Abilene, Texas 79601",Courtyard Abilene Northeast 4.7   241 Reviews View Rates,undefined undefined
Courtyard Abilene Southwest/Abilene Mall South,Category 2,"4350 Ridgemont Drive Abilene, Texas 79606",Courtyard Abilene Southwest/Abilene Mall South 4.3   471 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Abilene,Category 2,"3902 Turner Plaza Drive Abilene, Texas 79606",Fairfield Inn & Suites Abilene 4.3   378 Reviews View Rates,undefined undefined
Residence Inn Abilene,Category 2,"1641 Musgrave Blvd Abilene, Texas 79601",Residence Inn Abilene 4.6   439 Reviews View Rates,undefined undefined
TownePlace Suites Abilene Northeast,Category 2,"2141 Scottish Road Abilene, Texas 79601",TownePlace Suites Abilene Northeast 4.8   270 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Abingdon,Category 2,"923 East Main Street Abingdon, Virginia 24210",Fairfield Inn & Suites Abingdon 4.8   275 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Atlanta Acworth,Category 3,"3508 Baker Road Acworth, Georgia 30101",Fairfield Inn & Suites Atlanta Acworth 4.5   220 Reviews View Rates,undefined undefined
Courtyard Dallas Addison/Midway,Category 2,"4165 Proton Drive Addison, Texas 75001",Courtyard Dallas Addison/Midway 4.4   488 Reviews View Rates,undefined undefined
Courtyard Dallas Addison/Quorum Drive,Category 2,"15160 Quorum Drive Addison, Texas 75001",Courtyard Dallas Addison/Quorum Drive 4.4   630 Reviews View Rates,undefined undefined
Renaissance Dallas Addison Hotel,Category 3,"15201 Dallas Parkway Addison, Texas 75001",Renaissance Dallas Addison Hotel 3.9   147 Reviews View Rates,undefined undefined
SpringHill Suites Dallas Addison/Quorum Drive,Category 2,"15255 Quorum Dr. Addison, Texas 75001",SpringHill Suites Dallas Addison/Quorum Drive 4.4   511 Reviews View Rates,undefined undefined
Fairfield Inn & Suites Afton Star Valley,Category 4,"53 East 1st Avenue Afton, Wyoming 83110",Fairfield Inn & Suites Afton Star Valley 4.7   212 Reviews View Rates,undefined undefined
Courtyard Thousand Oaks Agoura Hills,Category 4,"29505 Agoura Road Agoura Hills, California 91301",Courtyard Thousand Oaks Agoura Hills View Calendar,undefined undefined
