hotel_name,Category,Full_Addr,Addr,City,State,Zipcode,Stars,Num_Reviews,url,lat,lng
Courtyard Aberdeen at Ripken Stadium,4,"830 Long Drive Aberdeen, Maryland 21001",830 Long Drive,Aberdeen,MD, 21001,4.2,388,https://cache.marriott.com/marriottassets/marriott/BWIBD/bwibd-lobby-0019-hor-feat.jpg?resize=375:150 undefined,39.5320936,-76.1859361
Fairfield Inn & Suites Aberdeen,2,"2901 6th Avenue SE Aberdeen, South Dakota 57401",2901 6th Avenue SE,Aberdeen,SD, 57401,NULL,NULL,https://cache.marriott.com/marriottassets/marriott/FN/ffi-main01-0001-hor-feat.jpg?resize=375:150 undefined,45.4597244,-98.4473775
Residence Inn Aberdeen at Ripken Stadium,4,"830 Long Drive Aberdeen, Maryland 21001",830 Long Drive,Aberdeen,MD, 21001,4.5,284,https://cache.marriott.com/marriottassets/marriott/BWIDE/bwide-lobby-0024-hor-feat.jpg?resize=375:150 undefined,39.5320936,-76.1859361
TownePlace Suites Aberdeen,2,"402 Norwood Street South Aberdeen, South Dakota 57401",402 Norwood Street South,Aberdeen,SD, 57401,4.6,229,https://cache.marriott.com/marriottassets/marriott/ABRTS/abrts-exterior-0001-hor-feat.jpg?resize=375:150 undefined,45.4606479,-98.4457259
TownePlace Suites Southern Pines Aberdeen,2,"205 Columbus Drive Aberdeen, North Carolina 28315",205 Columbus Drive,Aberdeen,NC, 28315,4.8,210,NULL,35.1560996,-79.4208489
Courtyard Abilene Northeast,2,"2141 Scottish Road Abilene, Texas 79601",2141 Scottish Road,Abilene,TX, 79601,4.7,241,NULL,32.4739667,-99.6881551
Courtyard Abilene Southwest/Abilene Mall South,2,"4350 Ridgemont Drive Abilene, Texas 79606",4350 Ridgemont Drive,Abilene,TX, 79606,4.3,471,NULL,32.3983261,-99.7655347
Fairfield Inn & Suites Abilene,2,"3902 Turner Plaza Drive Abilene, Texas 79606",3902 Turner Plaza Drive,Abilene,TX, 79606,4.3,378,NULL,32.4041522,-99.7646689
Residence Inn Abilene,2,"1641 Musgrave Blvd Abilene, Texas 79601",1641 Musgrave Blvd,Abilene,TX, 79601,4.6,439,NULL,32.4738575,-99.6906442
TownePlace Suites Abilene Northeast,2,"2141 Scottish Road Abilene, Texas 79601",2141 Scottish Road,Abilene,TX, 79601,4.8,270,NULL,32.4739667,-99.6881551
Fairfield Inn & Suites Abingdon,2,"923 East Main Street Abingdon, Virginia 24210",923 East Main Street,Abingdon,VA, 24210,4.8,275,NULL,36.714666,-81.9382478
